Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Date
1998,Qtr 3,1,29,Brazil,Embraer,Embraer 110 Bandeirantept Lgn,manacapuru river brazil,Aero Taxi Selva,0.0,5.0,24.0,1998-01-29
1998,Qtr 3,1,30,Unknown,Beechcraft,Beechcraft 1900D / Cessna 177F Gsjm/F,near quiberon france,Private / Air Proteus,0.0,15.0,15.0,1998-01-30
1998,Qtr 3,1,30,India,Dornier,Dornier 228 201Vt,kochi india,Airlines Alliance,2.0,6.0,6.0,1998-01-30
1998,Qtr 3,1,4,United Kingdom,De Havilland,De Havilland Dash 2 Beaverc,kincolith british,Canada          Columbia Harbour Air Seaplanes Ltd.,0.0,5.0,5.0,1998-01-04
1998,Qtr 3,1,11,Unknown,Antonov,Antonov An 12Bpd2,saurimo angola,ALADA,0.0,1.0,13.0,1998-01-11
1998,Qtr 3,1,19,Unknown,Cessna,Cessna 402Czk Vac,foveaux strait new,Aviation ZealandVincent,0.0,5.0,10.0,1998-01-19
1998,Qtr 3,1,21,Unknown,De Havilland,De Havilland Canada Dhc 6 Twin Otter 3009N,near ghorepani nepal,Airways Lumbini,0.0,18.0,18.0,1998-01-21
1998,Qtr 3,1,24,Unknown,Fokker,Fokker F 27 Friendship 600Xy,manibagi myanmar,Airways Myanmar,0.0,44.0,44.0,1998-01-24
1998,Qtr 3,1,24,Unknown,Douglas DC,Dc 3,pretoria south,Couriers Service AfricaSpeed,0.0,1.0,2.0,1998-01-24
1998,Qtr 3,1,29,Unknown,Tupolev,Tupolev Tu 154Mcu,quito ecuador,Aviacion de Cubana,10.0,70.0,91.0,1998-01-29
1998,Qtr 3,1,2,Unknown,Antonov,Antonov An 26Ra,angolapermaviatrans,Unknown,0.0,24.0,24.0,1998-01-02
1998,Qtr 3,1,2,Unknown,McDonnell Douglas,Mcdonnell Douglas Md 11Hb,off peggy's cove nova,Canada          Scotia Swissair,0.0,229.0,229.0,1998-01-02
1998,Qtr 3,1,9,United States,De Havilland,De Havilland Dash 2 Float Planen1433Z,port alsworth alaska,Inc. Service Flying Rusts,0.0,5.0,5.0,1998-01-09
1998,Qtr 3,1,10,Unknown,Lockheed,Lockheed C 130B Hercules24143,islamabad pakistan,Force Air Pakistan - Military,0.0,5.0,5.0,1998-01-10
1998,Qtr 3,1,25,Morocco,British,British Aerospace Bae 146,near nador morroco,Air Paukn,0.0,38.0,38.0,1998-01-25
1998,Qtr 3,1,28,Unknown,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300D4,praia cape,Airlines Verde VerdeCabo,0.0,1.0,22.0,1998-01-28
1998,Qtr 3,1,29,Unknown,Antonov,Antonov An 24Rvew,off mannar sri,LankaLionair,0.0,55.0,55.0,1998-01-29
1998,Qtr 4,1,2,Unknown,Douglas,Douglas Dc 3Cyv,near canaima venezuela,Servivensa,0.0,1.0,27.0,1998-01-02
1998,Qtr 4,1,10,Unknown,Boeing,Boeing B 727,near kindu congo,Airline Congo,0.0,41.0,41.0,1998-01-10
1998,Qtr 4,1,21,Unknown,Yakovlev,Yakovlev Yak 40Ek,yerevan armenia,Avia Ararat,4.0,0.0,37.0,1998-01-21
1998,Qtr 4,1,25,Unknown,Britten,Britten Norman Bn,rwenzori mountains uganda,Aviation Tana,0.0,4.0,11.0,1998-01-25
1998,Qtr 4,1,1,Unknown,Douglas,Douglas Dc 3Cn3Fy,near quetzaltenango guatemala,Charter Ministries Teaching Water Living,0.0,11.0,18.0,1998-01-01
1998,Qtr 4,1,11,Unknown,Antonov,Antonov An 12Ra,near krasnoyarsk russia,Airlines Sakha,0.0,13.0,13.0,1998-01-11
1998,Qtr 4,1,21,United States,Burgess,Burgess Rv 6 Experimentaln956Db,edgewater maryland,Private,0.0,1.0,1.0,1998-01-21
1998,Qtr 4,1,7,Unknown,Britten,Britten Norman Trislanderc,baie-comeau canada,Satellite Air,0.0,7.0,10.0,1998-01-07
1998,Qtr 4,1,11,Unknown,Airbus,Airbus A 310,near surat thani thailand,Airways Thai,0.0,102.0,146.0,1998-01-11
1998,Qtr 4,1,14,Unknown,Antonov,Antonov An 12Bpur,near cuito angola,Aircompany Khors,0.0,11.0,11.0,1998-01-14
1998,Qtr 4,1,17,Unknown,Antonov,Antonov 12S9 Sat,saurimo angola,Zanex,0.0,1.0,10.0,1998-01-17
1998,Qtr 4,1,22,Unknown,Antonov,Antonov 32Bhk 3930X,medellín colombia,SELVA,0.0,5.0,5.0,1998-01-22
1998,Qtr 4,1,26,Unknown,Lockheed,Lockheed Martin L 100,vila nova angola,Transafrik,0.0,14.0,14.0,1998-01-26
1999,Qtr 1,1,2,Unknown,Lockheed,Lockheed L 100,near huambo angola,Charter Nations United - Transafrik,0.0,9.0,9.0,1999-01-02
1999,Qtr 1,1,12,United Kingdom,Fokker,Fokker F 27 Friendship 600G,guernsey channel,England          Islands Channel Express,0.0,2.0,2.0,1999-01-12
1999,Qtr 1,1,13,United Kingdom,Douglas,Douglas Dc 3Cc,mayne island british,Canada          Columbia Kelowna Flightcraft Air Charter,0.0,2.0,2.0,1999-01-13
1999,Qtr 1,1,13,Unknown,Boeing,Boeing Kc 135E59,geilenkirchen germany,Guard National Air German - Military,0.0,4.0,4.0,1999-01-13
1999,Qtr 1,1,16,Australia,Britten Norman,Britten Norman Bn 2A,coconut island qld,Australia Uzu Air,0.0,3.0,4.0,1999-01-16
1999,Qtr 1,1,21,Unknown,Antonov,Antonov An 26,bluefields nicaragua,Nicaragua Aérea Fuerza,0.0,28.0,28.0,1999-01-21
1999,Qtr 1,1,2,Unknown,Antonov,Antonov An 12El,luanda angola,Savannair,13.0,14.0,14.0,1999-01-02
1999,Qtr 1,1,3,Unknown,Britten Norman,Britten Norman Bn 2A Trislanderp2,hoskins papua,GuineaAirlink New,0.0,11.0,11.0,1999-01-03
1999,Qtr 1,1,8,Unknown,Lockheed,Lockheed L 188A Electra9Q,kinshasa,Karibu CongoAir Republic Democratic,0.0,7.0,7.0,1999-01-08
1999,Qtr 1,1,24,China,Tupolev,Tupolev Tu 154B,rui'an china,Airlines Southwest China,0.0,61.0,61.0,1999-01-24
1999,Qtr 1,1,25,Unknown,Dornier,Dornier 328 110D,genoa italy,Airlines Minerva,0.0,4.0,31.0,1999-01-25
